shipment_id,order_id,shipment_date,carrier,shipping_method,shipment_status,estimated_delivery,actual_delivery,delivery_delay_days,is_significantly_delayed
dc958b48-1c5e-4613-a891-8c218bc1c733,cae912ee-9b04-4c85-9cfb-d1100d81d656,9/20/2022,OnTrac,Standard,Out for Delivery,2/9/2025,4/1/2025,51,1
512c9993-c88a-4327-889d-930de6f51cc9,bfefe21e-dcef-4994-a508-928060876d46,10/6/2022,FedEx,Standard,Pending,6/11/2024,1/17/2025,220,1
0888576f-d646-45e9-8bb3-7d5a1f1c0401,8ba8e4ec-1bd9-4416-a4fa-199186bae745,4/13/2025,Schneider National,Standard,Shipped,10/2/2024,6/20/2024,0,0
1d7cd4b2-dd34-4d02-9444-51ed36ca66c7,291ed07c-2090-452b-a8a5-b21d0503765d,10/6/2024,Amazon Logistics,Standard,Delayed,12/6/2024,6/5/2024,0,0
491fbaa3-8255-4fff-b574-75b37189e08b,8f1d06bc-34eb-4b2e-9cb2-d69ca8bd8464,9/3/2023,XPO Logistics,Standard,Processing,7/6/2024,12/6/2024,153,1
1efeec5b-3369-4f38-81b8-d05dca32cc7c,9fb95b37-412f-42ce-9f4e-f7ccf49e3fde,1/28/2023,Lasership,Standard,Failed Delivery,6/25/2024,12/11/2024,169,1
6ef6baf4-95f7-4366-947f-a29ada389b50,15fb0a4b-efeb-4f63-9ca5-6f86ef744c9f,11/9/2024,USPS,Express,Processing,4/5/2025,4/26/2024,0,0
f02b6e97-40cd-4f01-b976-ec525eb579e4,0abf5fc4-a2e2-425a-86ab-d05d402348e0,3/1/2023,DHL,Standard,Awaiting Pickup,8/18/2024,4/20/2025,245,1
fd22c137-c0a0-4cf5-80bd-711d7b56b582,2c13a294-b6ee-4260-ace7-3d59f825ccf0,5/10/2023,Blue Dart,2-day,In Transit,2/23/2025,3/8/2025,13,1
7085a7ac-b428-4b9f-b36d-d693750657ad,0ea85410-833f-497b-964e-d769a8d8e219,7/18/2024,YRC Freight,Standard,Shipped,10/7/2024,6/24/2024,0,0
160a3819-6258-4ac6-bf8f-7bc77c73b693,488750c5-f927-4006-9521-7895dea22482,2/23/2024,R+L Carriers,Standard,Delayed,5/13/2024,2/7/2025,270,1
5d0bb057-8d95-4438-89ea-24c8805aef8f,ffcdcd7a-001a-46a5-ad1f-07034d8e7109,6/10/2022,Purolator,2-day,Delivered,5/6/2024,4/22/2025,351,1
e5a80ba7-894f-4ad4-88a6-64d04ee37d48,218dbd3f-ff40-41fe-8e48-bb5f8fa550ce,12/21/2022,TForce Freight,Standard,Cancelled,4/21/2025,9/24/2024,0,0
d430d7bb-f4b9-41da-be33-df502a956947,044b544a-29eb-4faf-8747-1b3192c84352,11/22/2022,ABF Freight,Standard,Out for Delivery,2/11/2025,5/24/2024,0,0
bd3f33be-eaaf-4fde-89bb-ca67402dfb32,a02ceb41-ba7b-4e81-960c-93d6a06812ce,1/31/2023,Estes Express Lines,2-day,Returned,5/6/2024,8/31/2024,117,1
ded5e553-f68f-4c59-81ea-38337ee7f7c5,d8948c24-0c10-4ad8-9575-83ae940b7c90,1/29/2023,Saia,Standard,Hold at Location,8/4/2024,4/15/2025,254,1
31758b57-aa75-462c-adb7-1163ec565603,83b978c1-e69a-4f75-8064-db1a7b12b3b6,5/18/2022,SEKO Logistics,Standard,Pending,9/16/2024,5/15/2024,0,0
396d4f7c-6b8c-40a8-8afd-7c24526a8543,35d2887a-41ab-4f06-8e1f-183c5e83ff6e,5/9/2023,YRC Freight,Standard,Cancelled,10/8/2024,9/9/2024,0,0
a0355a98-daca-4e58-bdf3-5a226fe75e51,c43abc68-1140-4a0c-9e4d-a049dfe35c32,3/19/2023,UPS,2-day,Delivered,5/8/2024,11/25/2024,201,1
cc368248-3df6-415a-aadd-1578b6eaea1b,6a135851-3d96-4924-931b-24250f01c7fd,9/6/2023,OnTrac,Standard,Out for Delivery,11/4/2024,1/27/2025,84,1
40540aa2-c17a-41c6-bb72-824d2dd48320,308de043-7512-422f-99f7-0fb478779a45,10/27/2023,TForce Freight,Express,Pending,2/18/2025,7/5/2024,0,0
ff36a045-2b57-4d7d-917c-a09eea51f98b,f89cb87f-623b-48ea-b99f-920bcfc8674a,3/23/2023,DHL,2-day,Processing,4/14/2025,9/11/2024,0,0
65a3c252-e443-442b-84e8-ee41b2776f22,93c91e8d-77bf-4671-b0a3-3932901a7a60,8/21/2023,Old Dominion Freight Line,2-day,Returned,9/22/2024,2/7/2025,138,1
c3cba859-75b9-4ca4-b705-b24c2ae042c9,f8250f8f-065e-4daf-8ab7-eddb34373fab,11/29/2023,Blue Dart,Express,Delayed,8/17/2024,1/15/2025,151,1
5a7e41be-a7c9-4c20-97e2-62ac68de0547,1495c63f-76ee-4d55-88b8-1aa442c16fe0,3/9/2025,Schneider National,Standard,In Transit,6/12/2024,4/8/2025,300,1
c04af209-14e8-4bec-844f-94a0e1bb1491,f69ccc60-c422-46fc-9afe-a4c4a4a12ec2,7/23/2022,ArcBest,Standard,Hold at Location,7/15/2024,11/1/2024,109,1
17b25272-ef38-4e9f-889e-9707fdd33a4d,7da2d6d1-fbad-44b6-b336-be01b415bd73,1/10/2024,Amazon Logistics,Standard,Failed Delivery,9/21/2024,5/11/2024,0,0
236029b5-e44c-4169-814e-8e0b73b1ce88,19faf3ad-68d4-4b5e-9f4d-2bf70dec3ae7,2/11/2022,XPO Logistics,Standard,Shipped,10/9/2024,4/23/2025,196,1
7a8c2352-f589-4ebd-9159-fdd58c9931d7,7489cc14-ecf9-43d5-9cf7-69bbcc9fdf2b,2/26/2025,USPS,Standard,Awaiting Pickup,5/22/2024,11/11/2024,173,1
5029e1b8-ed4e-45d5-9fbe-3973c57ff3f3,5c3a6417-e086-4ff3-ac96-8faea309d8f4,5/27/2023,R+L Carriers,2-day,Delayed,3/23/2025,1/2/2025,0,0
ad862224-c4a0-4fe3-b75d-a843d2ca0b43,65ea7ed1-e7df-4d31-805e-2bfff6f6a5aa,5/20/2023,Lasership,Standard,Failed Delivery,5/23/2024,6/9/2024,17,1
8f68df84-d2bf-4f79-8cab-ef547c35bb76,580c0369-2fb9-465b-8e3b-900c698d5ad7,8/21/2022,Purolator,Express,Hold at Location,8/9/2024,1/7/2025,151,1
41e141f5-4203-46d7-a91c-dd22ad0e8c00,f3597574-9144-4d38-9dbe-086f9ff82682,3/14/2024,ABF Freight,Standard,Returned,4/18/2025,12/7/2024,0,0
c3e94ce3-5737-4b4e-a478-2791f428549f,cdf4f90d-129b-452d-8bde-09d5caec1687,3/22/2022,SEKO Logistics,Standard,Pending,4/12/2025,10/30/2024,0,0
fff318d2-b275-432f-99f8-4f1342fd2143,15d51b1c-9c74-47c9-a7cf-3ab1174c8a04,4/8/2025,FedEx,2-day,Cancelled,8/20/2024,7/13/2024,0,0
154b35da-c863-42c6-a9bf-0579e12e2528,3bddbf59-b744-4923-a849-7d88d6633fb0,2/16/2025,Estes Express Lines,2-day,Shipped,12/19/2024,7/26/2024,0,0
65b9d1c4-1532-49f1-bd93-a3fbe916f34e,4871ea8e-f6c6-42ef-bce6-8ef3b4365448,4/19/2024,Saia,Express,Awaiting Pickup,7/20/2024,5/9/2024,0,0
1f2cadbe-107a-4a3a-9153-d3fcb238fa9d,acc83c91-6a5e-4758-a6db-cc0e0e4f447b,1/10/2024,ArcBest,Standard,Delivered,11/17/2024,7/16/2024,0,0
acca5804-11a2-4e67-ae68-a1a9df5102f8,609d6602-7a84-4300-a9b7-e54a2d639e35,11/27/2024,Amazon Logistics,2-day,Processing,8/2/2024,9/11/2024,40,1
ae9ae68b-0649-47e8-9f25-80b8f9add58e,d15bb60c-ec7f-4120-a8b3-ee7d6ba4c8f8,12/6/2022,XPO Logistics,Express,Out for Delivery,7/7/2024,4/16/2025,283,1
fe06c71f-b093-41b0-aa95-2fc74df927ad,3a03a849-d20e-44fc-ab3d-ec01b76938de,2/27/2023,USPS,2-day,In Transit,12/15/2024,9/8/2024,0,0
6248b2a4-a383-45d5-aef9-b3bb4ffd30d5,131469cc-b101-4df0-8aee-7624f4e0fbd1,4/25/2022,R+L Carriers,Standard,In Transit,9/23/2024,5/14/2024,0,0
869c26eb-d8c1-4a8c-b6a0-f0764380d651,94dc9fcc-a2ba-4800-ba20-448189d773e5,2/14/2022,Lasership,Standard,Hold at Location,3/18/2025,4/11/2025,24,1
723c6dbc-3874-4448-b14e-bea941b114a6,ff59d6f9-4750-4348-9ca8-dbf92df85bce,7/2/2023,Purolator,Express,Shipped,12/6/2024,10/2/2024,0,0
165cd46f-4305-4c82-895c-636773c413da,51bb32b8-6d37-4ee4-a271-3af3c4ddbed6,6/7/2024,ABF Freight,Standard,Returned,3/13/2025,9/9/2024,0,0
c7ed98cd-7289-48a2-a6ec-0b5f4bd9faac,f3e07cf2-60a9-42fd-9429-7a0df1e51971,12/4/2023,SEKO Logistics,Standard,Delayed,12/24/2024,5/28/2024,0,0
b23e9141-86d9-4fae-aacf-a8d28444db69,14521fb4-9dbd-4289-b95e-271d9fcf1577,3/14/2023,FedEx,Express,Cancelled,12/26/2024,9/26/2024,0,0
142662bc-384d-41cd-bfc5-fcb1b24929f5,7406ca1c-9086-4cb3-aa7e-adb85cc7b13b,10/8/2024,Estes Express Lines,2-day,Pending,5/31/2024,8/21/2024,82,1
a2a34f2e-d440-48ce-ac14-dd592e06d26f,0d033b87-3fe3-4d53-8622-35a6194225f8,2/28/2022,Saia,Standard,Failed Delivery,7/31/2024,6/30/2024,0,0
40a53d6c-8762-4b33-a408-3955246c53ff,966b67e5-85ab-4a8b-b493-973b79f3d49a,4/7/2023,YRC Freight,Standard,Awaiting Pickup,5/25/2024,11/29/2024,188,1
aa757240-8da0-4916-b02d-16c162c2a3f7,11973378-6f02-45e8-aae8-4b006465d1d0,3/2/2022,UPS,Standard,Delivered,7/5/2024,1/30/2025,209,1
145c4cde-ddef-46d2-9b08-664f326c713c,34e67d75-90a3-4093-81e7-ab5cba5c1365,2/10/2022,OnTrac,Express,Processing,6/26/2024,11/5/2024,132,1
73d157ad-ee0c-400c-9289-4b28baa0dc6c,d3664ff0-7329-4011-9922-f88535e4e386,1/22/2024,TForce Freight,2-day,Out for Delivery,12/27/2024,2/19/2025,54,1
bfc6ac87-a90c-4b92-8d99-d0c667679b5c,8f93877b-944a-48a4-862b-bafb47628151,8/27/2022,DHL,Standard,Awaiting Pickup,7/4/2024,8/9/2024,36,1
0e5aafeb-20f8-4f21-a842-b4ccbd8501ff,8c99ab45-a3e2-4368-b77a-931b54689a33,3/11/2024,Old Dominion Freight Line,Standard,Pending,7/28/2024,2/6/2025,193,1
639106a2-0e04-4d9d-9806-e0868cf2e9be,11521e17-b9fd-4ed2-b8fd-60a619055017,3/28/2024,Blue Dart,Express,Cancelled,9/30/2024,10/26/2024,26,1
97f1bee5-acd7-4a19-995d-15d6fcede2cd,5ee31f7a-a116-490f-964d-207e0d5a41e1,5/23/2024,Schneider National,Standard,Out for Delivery,12/27/2024,11/16/2024,0,0
1d22e41c-0901-4485-92bb-fea128dad858,b66f9c3d-c359-4582-a98a-c35d79f50b44,10/29/2022,Schneider National,Express,Delayed,2/23/2025,3/31/2025,36,1
0471cf74-a5d3-493a-8848-185b1e7b6806,95bb82db-8e02-4d3f-8152-0c31f3348c48,8/14/2022,SEKO Logistics,2-day,Processing,10/25/2024,9/23/2024,0,0
b2cb09be-f152-45f9-8717-3eb924dba30e,f0b3adac-3925-45fa-8fa5-c518f3fa76b6,11/11/2023,DHL,Express,Hold at Location,4/17/2025,11/11/2024,0,0
6c8cc94d-11bc-4f70-8c7f-2896e5f29cfb,5d164d5a-ce83-442a-b5b5-8934613ff00f,8/9/2024,YRC Freight,Standard,Delivered,5/7/2024,1/12/2025,250,1
46980019-a277-4ed6-a232-5dcbe8b3ddc3,0959d725-d3b1-4df3-90fe-e62a177f2ae1,2/10/2023,Saia,Express,Failed Delivery,1/8/2025,9/28/2024,0,0
c7a1e1b2-d23d-423c-b9b5-234de7462fde,29770d38-4851-41d4-a131-377cc3d7082b,4/9/2022,Blue Dart,Standard,Returned,4/5/2025,12/18/2024,0,0
ec01937c-8da5-44e7-939e-32cb779928fe,9c615031-43ef-475a-984a-41a06211a922,9/10/2024,OnTrac,Standard,In Transit,12/31/2024,2/27/2025,58,1
43786b6b-1287-40e6-8f6d-7662b02ee818,4e243ef0-c391-4517-af58-79def750129c,11/12/2024,UPS,Express,Shipped,6/9/2024,8/29/2024,81,1
3d9a49f8-0002-4c23-8c77-ed1c334fd846,b9d55ac6-830d-4980-ae8c-39039ca7a069,10/18/2022,USPS,2-day,Delivered,5/27/2024,6/8/2024,12,1
e858bb8b-cd6a-42f1-8731-a2118027eb8d,ec4ae660-314c-46af-bfbb-3dc55eb7d7b8,11/2/2023,R+L Carriers,Express,Hold at Location,9/18/2024,7/5/2024,0,0
21248087-9b97-4c9c-896d-c3feeafee282,5cfda26a-9b0a-4a62-b4f8-0fb3734ec975,9/22/2024,XPO Logistics,Express,Shipped,1/2/2025,11/16/2024,0,0
94dd98f6-00ec-47da-a9df-fe13829b647a,10b5283c-a207-4aa1-bda0-0f5a35b78a57,1/31/2025,TForce Freight,2-day,Out for Delivery,2/17/2025,7/12/2024,0,0
5fb594e6-c6f5-4a0f-b201-a15eb72ceb5b,2ef67de4-2364-41b4-8b9d-b1a39a16344d,7/12/2022,Old Dominion Freight Line,Standard,Delayed,11/1/2024,3/30/2025,149,1
f6c549e6-9769-4d44-9cfc-9a4c14999f48,616326f2-6414-4554-b5d0-1156824ba0f1,10/29/2024,ABF Freight,2-day,Failed Delivery,8/13/2024,3/21/2025,220,1
4e7fcf40-d5b6-4828-840d-97583697b5f3,c8dbf0b1-a1a0-4ef6-95c8-927b7b775e37,11/29/2023,ArcBest,Standard,Returned,3/6/2025,1/3/2025,0,0
bcc97c16-f4a1-4d35-b4a9-5db3e432f00a,ced34248-f539-40a9-9a13-d93d3e0661ec,6/7/2022,Estes Express Lines,Standard,Pending,9/20/2024,3/5/2025,166,1
e69e0380-fc2c-4786-a7ff-1e7329ca8acc,e34c4c09-a3b4-4895-bc66-f50cda7c73dd,12/3/2024,Amazon Logistics,Express,Processing,1/9/2025,5/7/2024,0,0
cb402884-a45d-465a-a503-cc68d44bd6b0,01d06d2e-2d30-4ba0-9a76-5e9d0e01d6d4,12/25/2024,Purolator,Standard,Awaiting Pickup,5/3/2024,2/6/2025,279,1
50818567-9663-4141-b025-74ff13523b66,868f73d3-32d8-4ce6-a0ae-fc055aae52c8,4/6/2025,Lasership,Standard,Cancelled,12/5/2024,6/12/2024,0,0
bcdcb2a6-ff07-4a30-88ef-33a775699bd0,67a1e3c1-801e-4dfe-83b1-00904ec53ca1,2/1/2025,FedEx,Express,In Transit,1/14/2025,2/5/2025,22,1
d1b39ceb-4895-40f5-98af-0193c0d754b3,d6836dc0-ac79-4457-bbdf-28e1a080cb4e,1/8/2022,R+L Carriers,Standard,Cancelled,3/11/2025,11/15/2024,0,0
2d81954e-370b-4348-aee2-e716c508cd06,0b304ee7-5326-4326-a21b-9b6c74cb81ec,9/3/2022,OnTrac,Express,Delivered,4/11/2025,8/2/2024,0,0
51ace01f-96da-48d2-87bd-3032b83fc869,642a2574-623e-496b-a8ba-7ee6dcf2ad10,4/15/2025,Saia,2-day,Out for Delivery,1/5/2025,8/20/2024,0,0
2df70b31-28e8-4adf-9f68-709209478303,779da9e0-9ce8-4cb2-b939-0e46b8783ec6,7/3/2022,TForce Freight,Standard,Pending,6/25/2024,4/20/2025,299,1
5e30cf05-27d9-4110-a648-47e2825be114,7bc35568-f9b3-4b68-bf6a-f1346d6aeee8,5/1/2022,Old Dominion Freight Line,Standard,Processing,9/13/2024,4/6/2025,205,1
ed4bd188-bfac-427d-bdab-77389d728a14,e413ef78-a2e4-44e5-9e6d-43fe2ce4eba9,4/12/2024,ArcBest,Standard,Returned,10/27/2024,5/13/2024,0,0
58e25067-7dbb-4d9f-b3a9-b8a5b4cda212,b9f27b15-9b3c-43dd-af59-b8af3722ff7c,3/6/2023,Purolator,2-day,Delayed,2/26/2025,12/15/2024,0,0
fa77807b-a376-493d-a52d-7204cf827bbd,45a98e8e-6834-45dc-a14b-909d8bb7b8ef,12/14/2024,DHL,Express,In Transit,2/26/2025,9/13/2024,0,0
5c6432e4-36ea-46b2-8421-cd78d3432f89,7c5b3b21-c74e-4406-bba8-5c6909bf54bb,7/4/2024,Schneider National,Express,Hold at Location,12/3/2024,1/7/2025,35,1
5b4ba6d1-4e27-476c-bd56-071d1fc0f449,f17bb62f-1e54-42eb-9310-fd8698d9bc8b,4/18/2022,XPO Logistics,Standard,Failed Delivery,10/15/2024,2/27/2025,135,1
756faae0-e444-41b0-805e-180c16dc580e,dda9c3e9-9122-4cb7-935c-48e58aabf60d,2/24/2023,ABF Freight,2-day,Shipped,1/8/2025,7/11/2024,0,0
eed1f6b2-99b8-4c16-b10f-5d179c3cdc82,2e5fc2d4-a487-4ed1-809d-b0629cd2932d,1/5/2025,SEKO Logistics,2-day,Awaiting Pickup,8/21/2024,4/11/2025,233,1
bdb59b97-81a1-4a3b-a6bb-8972a3aceb70,1c068d02-f61f-4b05-99e1-2aca2c10b643,8/21/2024,Amazon Logistics,Express,Returned,12/25/2024,7/12/2024,0,0
9159cf62-f06c-4876-b8a0-ba22e11bfa3d,ffe24dc7-34d1-41e5-9b2d-6404556be40a,4/4/2022,USPS,Express,Hold at Location,6/8/2024,3/8/2025,273,1
c393f353-1067-4370-8c8d-2f6d4018fc7f,ec5a2927-d8e1-4c68-a343-63fe1154c00a,3/5/2025,Blue Dart,Standard,Pending,2/12/2025,5/18/2024,0,0
2ef91b19-6c2f-472d-94a7-bc897d57428d,dcbf01b0-98e6-43a4-a7bd-a1568f5a511e,1/23/2023,UPS,Standard,Failed Delivery,8/7/2024,3/1/2025,206,1
09919ad4-1f5c-4c60-b1ff-76057bb9b8e7,0323de60-b95e-40c6-9cb7-dda8b8400ec5,11/13/2024,Lasership,Standard,Processing,9/27/2024,12/17/2024,81,1
3d5a29e1-74cb-4537-ae8d-680911c0d9d3,5fd7dc93-c109-4c84-a18d-e0770c51b31d,2/16/2025,FedEx,Standard,Awaiting Pickup,11/4/2024,12/20/2024,46,1
113cd746-2c27-4346-800d-b80fedea8fe8,876dad6d-fee4-4dbd-b0c1-66d2f152451f,10/23/2022,YRC Freight,Express,In Transit,1/13/2025,11/18/2024,0,0
e2359c79-c1f6-4006-92dc-024624d5b8ae,fdd15e6e-61be-4027-88c4-9e23099b1754,10/16/2023,Estes Express Lines,Standard,Shipped,9/10/2024,5/22/2024,0,0
8e0fdfa5-0da3-4c04-a7c2-4d0934969428,5a9963fd-e5e3-43f2-a4f4-88a0e33f422b,1/7/2023,Blue Dart,Standard,Delayed,12/23/2024,1/11/2025,19,1
522eadc3-5b89-4994-bcca-9c1a438b1b61,f027a748-5199-4396-bded-9cab109c8f08,10/13/2023,YRC Freight,Express,Delivered,7/2/2024,12/24/2024,175,1
4181c1d4-3969-4236-b48b-a1271b82c49e,9c3bcde9-fa2c-4725-ba39-6dd691d6feb7,8/2/2024,R+L Carriers,Express,Cancelled,7/18/2024,11/25/2024,130,1
468f4f1e-fd98-4d9f-8cc4-bda9c3de2aaa,e4d83a4f-87cb-4258-808a-26ea86c6d7f3,8/18/2023,Purolator,Standard,Out for Delivery,1/12/2025,4/29/2024,0,0
122395cd-8ba6-4fad-9d27-c1c78ca834a2,94afd89f-8ec8-4032-a0fd-562b8ddfa340,5/23/2024,TForce Freight,Express,Cancelled,3/3/2025,1/14/2025,0,0
09469b05-fd1e-4b98-90da-59aa3a396c33,3b3e0a11-7633-4a85-bf93-517e10105fe7,4/26/2024,ABF Freight,2-day,Out for Delivery,6/14/2024,1/17/2025,217,1
6c183cd8-9af4-4d93-8a69-900770aaea64,d50eea67-013f-4c25-b2fb-238ae368b782,3/31/2022,Estes Express Lines,Standard,Hold at Location,6/27/2024,11/23/2024,149,1
2fc3c527-06ed-48bf-aff0-ec23e7149a53,1fc566aa-2f4e-41c8-a13e-fc52534fa347,6/27/2024,Saia,Standard,Processing,8/16/2024,3/19/2025,215,1
06ad7ae5-1e12-4808-aaea-030a8d66bc4c,a6d042d8-e42f-4442-a4dd-844eefbe5983,6/19/2023,SEKO Logistics,2-day,Returned,4/27/2024,5/12/2024,15,1
db1bdc9f-2f29-4c60-aba8-006705df3800,dc3f3782-0706-4c08-a7f9-d84292f72ef5,3/24/2024,UPS,Express,Awaiting Pickup,4/27/2024,10/26/2024,182,1
fc20d58e-53ef-439d-bcce-438ec62cde93,d165f68e-a2d7-491e-96f2-244e5625fb63,11/29/2024,Old Dominion Freight Line,Standard,Delayed,12/13/2024,6/30/2024,0,0
0510d7eb-261f-4c6d-86f2-684ee4b288ae,431bfa51-9b7f-4679-a96c-5168cb08daea,9/12/2022,ArcBest,2-day,In Transit,6/16/2024,10/6/2024,112,1
105c61cc-b57f-48bc-9479-092c6221bfa1,d40f65e1-4f31-452b-bc73-66b78dd49761,3/4/2025,OnTrac,Express,Failed Delivery,10/18/2024,1/16/2025,90,1
3e296a38-5cc8-4843-b6fd-ca899a862f69,48fa9b87-bdb7-4b76-b49c-9cffe5ff1b1c,8/10/2024,FedEx,Standard,Delivered,4/2/2025,9/25/2024,0,0
f24fc93b-d170-4186-8a08-2d3b50a96bed,71308044-0857-4fcd-b58d-d7bf32beeec4,8/10/2024,Schneider National,Standard,Pending,3/10/2025,5/20/2024,0,0
f365d27a-3025-43a2-b421-6a26d2de8a08,b81d1d39-01d3-43af-b20c-e4cebb938069,1/4/2025,Amazon Logistics,Express,Shipped,2/14/2025,9/14/2024,0,0
d635b684-4fe1-4c8a-8f2a-2ac0e0603c03,6298a391-914e-42d1-aaa0-b275be604a07,12/12/2022,XPO Logistics,2-day,Shipped,5/17/2024,2/14/2025,273,1
f6ea2599-cf89-4002-8c7b-bce4cb67812b,82fd4ad5-c5f1-4380-a21c-a463f57b734f,2/24/2025,Lasership,Standard,Awaiting Pickup,3/15/2025,6/14/2024,0,0
6a481834-0773-482f-8715-58f5924e222c,9c1a459a-bc9d-4b32-955a-051409b01ad7,7/29/2022,USPS,2-day,Pending,3/18/2025,3/11/2025,0,0
c66ba6d9-05f2-46a8-9ed6-1098f8cba689,0cdd3723-aa22-46dd-908b-3b5e10f45d54,12/31/2024,DHL,2-day,Cancelled,12/6/2024,6/23/2024,0,0
b004a384-50b7-4428-ab4f-0908bda621a8,ab23cd34-a96d-442f-b8ed-ebbeee93e724,11/6/2024,R+L Carriers,Express,Out for Delivery,11/11/2024,4/6/2025,146,1
22312ae0-b747-4382-a538-3294894d5547,10da8be2-0f3a-4d83-aecf-8c70bfaa4f49,8/5/2024,XPO Logistics,Standard,Delayed,8/6/2024,4/5/2025,242,1
c2cc5571-8297-4f4e-9854-5e83bc6d925b,ec188513-1dfa-4f18-9a23-e6848e86cf41,5/27/2023,DHL,Standard,Processing,7/30/2024,6/1/2024,0,0
97a8c146-1ea9-4a29-979b-eae1d999f86d,6af23ebe-c24d-42ad-ab8d-352c9cd84b58,10/27/2022,Blue Dart,Standard,Hold at Location,4/15/2025,7/21/2024,0,0
924deb30-a21d-4e9f-82a4-4957c8df1911,d7b3562b-956b-4362-8b5b-690df9fd3128,11/14/2024,SEKO Logistics,2-day,Delivered,10/14/2024,7/4/2024,0,0
d3727771-42c7-4474-91ee-6af17411d8ca,c8fc7e87-948f-4a45-bd92-1ca8f0d0dbfe,5/12/2023,Old Dominion Freight Line,Standard,Failed Delivery,5/11/2024,9/19/2024,131,1
e2698631-3724-4325-b19b-001b0148f635,83b2076d-94cc-455e-a7eb-8874c1548fc8,5/8/2022,Estes Express Lines,Express,Returned,4/18/2025,2/12/2025,0,0
18ea71c6-2961-46ba-b195-db6a6d64eeab,a1ca7b4f-1fc6-4eff-ad56-044110cf07e9,4/9/2022,USPS,Standard,In Transit,6/19/2024,4/12/2025,297,1
6463f291-14ba-4f2c-8d72-1b8fcd66b1db,6f314efa-5039-4bba-b316-a17ce7a581f1,3/8/2022,ArcBest,Standard,In Transit,11/6/2024,3/12/2025,126,1
b066cee5-d630-4912-85b7-695e9d1d4e4e,7f09c0d6-8cfa-45f1-8103-628a937305cd,9/6/2023,Lasership,Express,Failed Delivery,6/8/2024,7/26/2024,48,1
22a0baf4-7690-4de4-a199-6402b920e8ff,6330e310-6662-4008-90ea-9e00eea4a2ea,9/30/2024,UPS,Standard,Pending,12/14/2024,2/28/2025,76,1
3302018d-c4da-4756-8474-147d30d293f5,c53fbb4a-cb64-43e7-8756-29cb437eda7c,12/26/2024,TForce Freight,Standard,Processing,10/2/2024,2/3/2025,124,1
6b1eb6e2-0e82-415d-b9f5-c00c02e99ba8,2794c13e-fc10-49e4-a246-f35e0e0302b5,10/18/2024,ABF Freight,Standard,Shipped,11/6/2024,10/7/2024,0,0
8b9edc31-08fe-45c5-8118-9016fb7ced95,5d2217ad-7a55-4b5d-8325-cdbeaa169745,12/1/2023,YRC Freight,Standard,Awaiting Pickup,2/9/2025,1/30/2025,0,0
2fd5a659-7482-42d8-9803-1ea55363c7a1,b5d14370-347f-47a1-bbd1-8b741eb24f01,9/4/2024,Amazon Logistics,Standard,Delayed,3/21/2025,7/18/2024,0,0
